# reorganization energies for 151 OROP systems 
# OROP system number, inner-sphere reorganization energies in eV, outer-sphere reorganization energies in eV, total reorganization energies in eV, outer-sphere contribution in %
96, 0.365, 0.041, 0.406, 10.1
97, 0.171, 0.105, 0.276, 37.9
98, 0.120, 0.070, 0.190, 36.8
99, 0.201, 0.078, 0.279, 28.0
100, 0.149, 0.056, 0.205, 27.5
101, 0.210, 0.069, 0.279, 24.9
102, 0.201, -0.048, 0.153, -31.8
103, 0.240, 0.140, 0.380, 36.9
104, 0.966, -0.124, 0.842, -14.7
105, 1.348, -0.032, 1.316, -2.4
107, 1.750, -0.065, 1.685, -3.8
111, 0.429, 0.095, 0.524, 18.2
113, 2.249, -0.136, 2.114, -6.4
114, 0.124, 0.054, 0.178, 30.5
115, 0.169, 0.060, 0.230, 26.3
116, 0.295, -0.096, 0.199, -48.5
117, 0.309, -0.045, 0.265, -16.8
118, 0.175, 0.045, 0.220, 20.4
121, 0.240, 0.089, 0.328, 27.0
122, 0.244, 0.042, 0.286, 14.8
123, 0.226, 0.024, 0.250, 9.7
124, 0.183, 0.031, 0.214, 14.5
125, 0.220, 0.021, 0.240, 8.6
126, 0.370, 0.004, 0.374, 1.0
127, 0.215, 0.011, 0.226, 4.8
129, 0.192, 0.121, 0.313, 38.7
130, 0.200, 0.056, 0.256, 21.9
131, 0.246, 0.002, 0.248, 0.8
132, 0.355, 0.021, 0.376, 5.7
133, 0.277, 0.008, 0.285, 2.9
134, 0.246, 0.034, 0.280, 12.3
135, 0.104, 0.019, 0.123, 15.7
136, 0.480, 0.022, 0.502, 4.3
137, 0.369, 0.070, 0.440, 16.0
138, 0.507, 0.094, 0.601, 15.7
139, 0.651, 0.090, 0.741, 12.1
140, 0.439, -0.037, 0.401, -9.3
142, 0.256, 0.008, 0.264, 3.2
143, 0.257, 0.035, 0.292, 11.9
144, 0.501, 0.068, 0.569, 11.9
145, 0.252, 0.031, 0.283, 11.0
146, 0.285, 0.027, 0.312, 8.6
149, 0.448, 0.004, 0.452, 0.8
151, 0.460, 0.032, 0.492, 6.5
155, 0.624, 0.016, 0.639, 2.5
156, 0.380, 0.037, 0.417, 8.9
157, 0.477, 0.046, 0.523, 8.8
158, 0.216, 0.030, 0.246, 12.2
159, 0.355, 0.003, 0.358, 0.8
160, 0.382, 0.045, 0.427, 10.5
161, 1.595, -0.171, 1.424, -12.0
162, 0.207, 0.040, 0.246, 16.1
163, 0.389, 0.040, 0.429, 9.4
164, 0.178, 0.031, 0.209, 14.9
166, 3.844, -0.104, 3.740, -2.8
168, 0.249, 0.037, 0.287, 13.0
171, 0.326, 0.060, 0.386, 15.7
172, 1.040, -0.012, 1.029, -1.1
179, 2.262, -0.138, 2.124, -6.5
181, 0.186, 0.017, 0.203, 8.3
184, 0.163, 0.035, 0.197, 17.5
188, 0.238, 0.040, 0.278, 14.5
190, 0.140, 0.043, 0.183, 23.3
191, 0.349, 0.041, 0.391, 10.6
192, 0.207, 0.056, 0.263, 21.3
193, 0.238, 0.036, 0.274, 13.2
